name,street,city,state,longitude,latitude
"Lodi622","1222 Pixley Parkway","Lodi","CA",-121.2515159888433,38.11869597906187
"Lompoc692","1601 N H St","Lompoc","CA",-120.45842802173385,34.66347801250568
"LongBeach507","3700 E Willow St","Long Beach","CA",-118.14947797830658,33.80360601646994
"LosAngeles502","3615 S Hope St","Los Angeles","CA",-118.27919798823037,34.017989995897736
"LosBanos650","814 W L St","Los Banos","CA",-120.8628449593032,37.0598739791009
"LosGatos640","600 N Santa Cruz Ave","Los Gatos","CA",-121.97847983924572,37.23393212836624
"Madera533","1206 Maple St","Madera","CA",-120.07256995889944,36.94947098705427
"Manteca658","955 Davis St","Manteca","CA",-121.22967855175031,37.80061368898333
"Mariposa566","5264 Hwy. 49  North","Mariposa","CA",-119.97980399987651,37.49618401634329
"MendotaTravelRun822","655 Quince St","Mendota","CA",-120.3826146846845,36.75410908310133
"Merced536","1313 W 12th St","Merced","CA",-120.4984439818647,37.301354011195414
"Modesto557","124 Burney St","Modesto","CA",-120.98888168395553,37.63846553457317
"Montebello511","424 N Wilcox Ave","Montebello","CA",-118.1225480130513,34.01942900103491
"Mt.Shasta639","154 Morgan Way","Mount Shasta","CA",-122.31687674272443,41.31003951523935
"Napa540","2550 Napa Valley Corporate Dr","Napa","CA",-122.2741080086092,38.25533998583225
"Needles584","1040 E. Broadway","Needles","CA",-114.59528096699867,34.82489599139657
"Newhall662","24427 Newhall Ave","Newhall","CA",-118.53316898389402,34.37950198276877
"Norco586","3201 Horseless Carriage Dr","Norco","CA",-117.56224657689128,33.928333576660314
"Novato686","936  7th St.  Ste. A","Novato","CA",-122.57757003539129,38.10747998678474
"OaklandClaremont504","5300 Claremont Ave. 1st Flr.","Oakland","CA",-122.25979096361426,37.83956498272697
"OaklandColiseum604","501 85th Ave","Oakland","CA",-122.19319598851408,37.73955399996581
"Oceanside596","4005 Plaza Dr.","Oceanside","CA",-117.28917371141245,33.1833408987212
"Oroville522","775 Mitchell Ave","Oroville","CA",-121.56514300106332,39.504150980852614
"Oxnard636","4050 Saviers Rd","Oxnard","CA",-119.17693301065682,34.16320500157923
"PacoimaDLPC693","11623 Glenoaks Blvd","Pacoima","CA",-118.41998797767795,34.28034700186939
"PalmDesert683","74740 Technology Dr","Palm Desert","CA",-116.35657204145406,33.785400019858685
"PalmSprings659","950 N Farrell Dr","Palm Springs","CA",-116.51904802607328,33.83685300305339
"Pasadena509","49 S Rosemead Blvd","Pasadena","CA",-118.07390196159199,34.14522099967358
"PasoRobles574","841 Park St","Paso Robles","CA",-120.69019896010411,35.623313004906905
"Petaluma634","715-J  Southpoint Blvd. Petaluma","Petaluma","CA",-122.64562597621494,38.25718501035925
"Pittsburg592","1399 Buchanan Rd","Pittsburg","CA",-121.87258500693021,37.999107007868176
"Placerville525","2919 Cold Springs Rd","Placerville","CA",-120.82513201088884,38.73462399874563
"Pleasanton631","6300 W Las Positas Blvd","Pleasanton","CA",-121.90574096604519,37.6801260130853
"Pomona532","1600 S Garey Ave","Pomona","CA",-117.74945883278096,34.042344399885984
"Porterville573","329 E Olive Ave","Porterville","CA",-119.00957800401821,36.06491499862862
"Poway676","13461 Community Rd","Poway","CA",-117.04044965984856,32.95972430851396
"Quincy544","1953 E Main St. #3.","Quincy","CA",-120.90332401958449,39.9347220128098
"RanchoCucamonga612","8629 Hellman Ave","Rancho Cucamonga","CA",-117.60159303322509,34.097107995346704
"RedBluff558","675 Monroe St.","Red Bluff","CA",-122.23886797308869,40.17479099341426
"Redding551","2135 Civic Center Dr","Redding","CA",-122.38007999136116,40.57587201733881
"Redlands626","1659 W Lugonia Ave","Redlands","CA",-117.21254196819501,34.069888980160414
"RedwoodCity548","300 Brewster Ave","Redwood City","CA",-122.22900901093567,37.4926240125171
